"State","County","NUM_LICENSED_BEDS","Population with public coverage","Percent of pop w/no health insurance","margin of error","PopEstimate2018","Heart Disease Mortality","adjusted_beds","inquiry1","inquiry2"
"GA","Floyd",514,34644,13.8,1.2,97927,481.8,524.880778539116,0.91792273540856,34.9130434782609
"GA","Forsyth",304,37189,8.9,0.6,236612,257,128.480381383869,2.00030539473684,28.876404494382
"GA","Franklin",56,9703,16.4,2.1,23023,474.1,243.235025843722,1.949143625,28.9085365853659
"GA","Fulton",4682,258649,11,0.4,1050114,275.4,445.856354643401,0.617687730884237,25.0363636363636
"GA","Gilmer",NA,12053,21.4,2.9,30816,369.2,NA,NA,17.2523364485981
"GA","Glascock",NA,1118,8.3,2.2,2995,437.4,NA,NA,52.6987951807229
"GA","Glynn",401,31636,14.1,1.2,85219,356.7,470.552341613959,0.758045319201995,25.2978723404255
"GA","Gordon",69,19491,16.2,1.7,57685,427,119.615151252492,3.56978188405797,26.358024691358
"GA","Grady",60,10710,18.3,2.1,24748,381.1,242.443833845159,1.57191046666667,20.8251366120219
"GA","Greene",50,7745,15.8,2.2,17698,318.3,282.517798621313,1.12665468,20.1455696202532
"GA","Gwinnett",848,213963,17,0.5,927781,247.4,91.4008801646078,2.70675730424528,14.5529411764706
"GA","Habersham",53,14132,17.3,1.6,45388,313,116.770952674716,2.68046113207547,18.0924855491329
"GA","Hall",657,59617,17.4,0.8,202148,274.2,325.009399054158,0.843667908675799,15.7586206896552
"GA","Hancock",NA,2981,9.5,2.8,8348,338.9,NA,NA,35.6736842105263
"GA","Haralson",25,10545,12.3,2,29533,527.7,84.6510682964819,6.23382564,42.9024390243902
"GA","Harris",NA,10466,7.8,1.3,34475,361.9,NA,NA,46.3974358974359
"GA","Hart",NA,11188,11.4,1.7,26099,350.1,NA,NA,30.7105263157895
"GA","Heard",NA,4613,12.6,2.8,11879,433.9,NA,NA,34.4365079365079
"GA","Henry",215,59955,11,0.8,230220,331.8,93.3889323256016,3.55288353488372,30.1636363636364
"GA","Houston",276,46115,11.8,1,155469,393.6,177.527352719835,2.21712313043478,33.3559322033898
"GA","Irwin",34,3937,15.8,3.9,9398,446.7,361.779101936582,1.23473135294118,28.2721518987342
"GA","Jackson",NA,20445,12,1.4,70422,355.8,NA,NA,29.65
"GA","Jasper",17,5456,13.7,2.2,14040,361.5,121.082621082621,2.98556470588235,26.3868613138686
"GA","Jeff Davis",35,6240,19.7,3.2,15029,553.3,232.883092687471,2.3758702,28.0862944162437
"GA","Jefferson",37,6734,14.4,1.8,15430,467.9,239.792611795204,1.95126945945946,32.4930555555556
"GA","Jenkins",25,4087,16.7,4.1,8683,363.4,287.918922031556,1.26216088,21.7604790419162
"GA","Johnson",NA,4373,14.8,3.4,9708,400.4,NA,NA,27.0540540540541
"GA","Jones",NA,10543,11.6,1.8,28616,332.7,NA,NA,28.6810344827586
"GA","Lamar",NA,6646,13.7,2.7,19000,383.9,NA,NA,28.021897810219
"GA","Lanier",25,3540,15.7,4.1,10340,347.5,241.779497098646,1.43726,22.1337579617834
"GA","Laurens",224,19134,11.2,1.1,47325,458.4,473.322768092974,0.968472321428571,40.9285714285714
"GA","Lee",NA,8061,10.9,1.8,29764,332.8,NA,NA,30.5321100917431
"GA","Liberty",64,17474,12.5,1.5,61497,341,104.070117241491,3.27663703125,27.28
"GA","Lincoln",NA,3246,12.4,2.4,7915,332.8,NA,NA,26.8387096774194
"GA","Long",NA,6216,14.8,2.6,18998,346.2,NA,NA,23.3918918918919
"GA","Lowndes",443,33787,15.8,1.2,116321,393.5,380.842668133871,1.03323506772009,24.9050632911392
"GA","Lumpkin",52,8530,11.7,2,32955,330.4,157.790927021696,2.09391,28.2393162393162
"GA","Macon",49,5131,20.1,3.1,13143,446.4,372.822034543103,1.19735412244898,22.2089552238806
"GA","Madison",NA,10693,13.7,2.2,29650,357.7,NA,NA,26.1094890510949
"GA","Marion",NA,3256,14.2,3.7,8351,417.1,NA,NA,29.3732394366197
"GA","McDuffie",25,9202,13.4,2.3,21531,400.1,116.111652965492,3.44582124,29.8582089552239
"GA","McIntosh",NA,5695,15.9,3.2,14340,320,NA,NA,20.125786163522
"GA","Meriwether",109,8742,14.3,2.3,21068,519.5,517.372318207708,1.00411247706422,36.3286713286713
"GA","Miller",25,2487,14.7,2.9,5686,480.4,439.676398170946,1.09262176,32.6802721088435
"GA","Mitchell",25,8789,17.7,1.9,22192,398.2,112.653208363374,3.53474176,22.4971751412429
"GA","Monroe",25,8407,11.8,2,27520,394.5,90.8430232558139,4.342656,33.4322033898305
"GA","Montgomery",NA,3251,15,3.2,9193,453.8,NA,NA,30.2533333333333
"GA","Morgan",25,6571,11.8,2.5,18853,355.9,132.60489046836,2.68391308,30.1610169491525
"GA","Murray",42,14553,16.9,2.4,39921,412.3,105.207785376118,3.9189115,24.396449704142
"GA","Muscogee",1167,68588,12.9,0.7,194160,502.7,601.050679851669,0.836368740359897,38.968992248062
"GA","Newton",101,38071,12.3,1.3,109541,354.4,92.202919454816,3.84369607920792,28.8130081300813
"GA","Oconee",NA,8017,6.8,1.4,39272,290.1,NA,NA,42.6617647058824
"GA","Oglethorpe",NA,5581,12.1,1.8,15054,295.7,NA,NA,24.4380165289256
"GA","Paulding",112,37328,10.9,1.1,164044,343.4,68.2743654141572,5.02970621428571,31.5045871559633
"GA","Peach",25,11117,13.5,2,27297,483.9,91.5851558779353,5.28360732,35.8444444444444
"GA","Pickens",52,11139,11.2,1.7,31980,380.4,162.60162601626,2.33946,33.9642857142857
"GA","Pierce",NA,7635,16.5,2.5,19389,430.8,NA,NA,26.1090909090909
"GA","Pike",NA,5175,NA,NA,18634,331.6,NA,NA,NA
"GA","Polk",25,15092,15.3,1.7,42470,539.4,58.8650812338121,9.1633272,35.2549019607843
"GA","Pulaski",49,4479,15.2,3.7,11069,392.6,442.67774866745,0.886875387755102,25.8289473684211
"GA","Putnam",NA,9543,13.8,2.4,21809,321.4,NA,NA,23.2898550724638
"GA","Quitman",NA,1037,21.8,7.2,2279,403.8,NA,NA,18.5229357798165
"GA","Rabun",25,7219,18.4,2.1,16867,301,148.218414655837,2.0307868,16.3586956521739
"GA","Randolph",NA,3930,16.2,3.5,6833,354.6,NA,NA,21.8888888888889
"GA","Richmond",2906,76947,13.6,0.8,201554,436.7,1441.79723548032,0.302885863041982,32.1102941176471
"GA","Rockdale",138,27259,13.6,1.4,90594,309.2,152.327968739652,2.0298307826087,22.7352941176471
"GA","Schley",NA,1875,16.7,5.3,5236,378.1,NA,NA,22.6407185628743
"GA","Screven",25,5942,14.1,2.7,13938,376,179.365762663223,2.0962752,26.6666666666667
